chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,rolloff_mean,rolloff_var,spectral_bandwidth_mean,spectral_bandwidth_var,spectral_centroid_mean,spectral_centroid_var,zero_crossing_rate_mean,zero_crossing_rate_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
0.3990033,0.06460925,0.07213745,0.0030273462,1190.1235727163462,726941.6876953734,1022.0538984134699,104654.73657297426,640.5312449451317,160926.52721070347,0.02239708533653846,0.0001421465817287829,78.30255681818181,-327.10095,2964.5898,167.4123,870.4707,19.829763,311.16354,12.774307,286.231,35.513786,214.50348,21.37247,41.027374,4.8575463,44.921776,11.546385,45.32292,6.4128175,35.716557,-0.982705,71.35917,3.681689,28.329638,1.8176662,79.401764,-11.212884,37.122677,-7.7392087,33.160576,0.3267253,34.5194,-3.2994578,51.826454,-7.0785394,32.028088,0.3156956,44.211185,7.0747795,56.459846,2.3485281,45.10616,blues
0.3766601,0.042127933,0.10258142,0.0040567475,1069.7032752403845,951525.7943947639,934.6178842507348,137064.95180310012,607.8909912776095,240755.40785342132,0.024342698317307693,0.00012567634413228232,143.5546875,-297.58136,4002.502,181.92891,986.50586,18.546263,306.54868,14.416957,127.577286,38.12736,154.80547,23.488564,61.12887,4.8557167,49.136284,10.626602,45.326828,1.6907339,28.945034,1.4300549,34.156517,10.265982,50.78701,6.9905233,24.838211,-9.611527,14.853058,-10.913116,46.157127,-6.86284,35.767868,-9.243016,33.626186,-10.721606,48.605072,-4.404087,38.417233,2.5185814,29.093344,3.8419082,31.415272,blues
0.42668366,0.041674986,0.05674371,0.00091448,812.1330378605769,87253.54706267631,994.3544674031448,41982.50150407865,534.1286290070312,15999.600904290955,0.02101111778846154,5.125610080696422e-05,198.76802884615384,-361.36328,2114.0251,180.12346,383.59702,25.488266,293.29382,17.206913,230.27759,27.045383,214.81151,19.701653,23.825315,8.240095,19.933235,10.225642,18.736929,6.096106,23.154207,3.04103,13.671057,5.936324,16.916565,-1.5885426,16.52471,-10.289188,24.4271,-4.4882755,19.990366,2.0517583,23.447773,-2.637514,35.771915,0.07655792,27.50456,4.6604233,30.106453,5.132305,35.96179,1.3609257,18.663183,blues
0.39497745,0.07209527,0.08739963,0.002515498,870.7696063701923,871780.4423480344,1008.0765676800439,127401.3199899262,555.3633404569026,194792.02700456936,0.015557391826923077,0.0001036928391315528,60.09265988372093,-329.143,4013.3696,162.44742,706.9329,26.442196,222.06175,17.991905,237.82591,35.57886,295.4054,27.601389,91.64626,8.7944145,49.294132,10.325184,26.965199,3.3088212,39.385677,2.6288245,30.203703,9.604132,47.472935,4.664079,51.41353,-5.6675663,18.057552,-1.9335899,22.670374,0.9015452,50.899315,-3.4978812,19.240816,-4.8774047,36.812527,0.49657744,22.756105,0.56416965,26.510843,-4.204145,16.829517,blues
0.4326601,0.069187336,0.06049144,0.001458057,817.9304387019231,152939.00443900973,1029.8499645421978,73572.16122192187,543.0950376966821,30510.828018665845,0.021375450721153846,0.00021753775297537358,172.265625,-368.9809,3083.499,178.30267,504.15073,26.251806,298.54935,28.536995,116.469406,29.004969,98.2727,19.807388,50.72322,10.786201,22.303925,13.33611,36.85924,5.2215333,17.207485,2.7756271,16.042238,2.8043747,53.228127,0.8067724,17.778866,-7.3604174,33.441216,-2.59246,26.613789,4.354333,14.561462,-0.48965064,19.136547,-0.30801505,19.774576,0.099773586,23.850704,2.2779849,56.03573,-4.3231726,74.503784,blues
0.34840992,0.07426901,0.098552056,0.0016217551,1064.071514423077,111370.55339390003,943.7032117739503,71558.8947299355,604.6050053060416,24466.047407952115,0.02605919471153846,0.00011403428026910363,57.421875,-312.6735,1640.7262,188.62332,371.5359,19.158356,221.93816,6.8258905,186.3015,20.236769,168.91887,17.217672,63.456387,8.813563,51.254913,9.29281,30.925425,7.850774,56.764633,6.667712,38.460285,1.4498644,41.13847,-0.102227844,37.30148,-3.0519466,35.798153,-2.5413592,16.105509,1.3768462,11.519394,0.768299,12.059697,-0.8732853,19.942677,0.3625507,27.188202,-1.8480725,40.162945,-11.935321,67.510414,blues
0.40128574,0.079848476,0.081312686,0.003600663,803.6853966346154,146008.652025567,1065.4018637481506,77535.60419694088,543.3194745663666,35666.832751742106,0.02015850360576923,9.37983975607968e-05,92.28515625,-341.20007,771.99646,176.34378,223.6651,35.16,178.08604,26.868925,137.08882,24.793287,108.33957,15.158268,44.500553,8.632303,19.161028,10.751702,30.760155,4.586376,34.13516,4.4472127,34.649918,3.9073448,15.790721,3.1636353,38.88702,-5.3449526,46.170937,-4.9366484,37.25111,1.825185,48.599083,-0.10347622,13.127885,-1.2171671,16.67987,2.6427214,24.129902,6.0386915,14.578758,-0.9338102,15.868464,blues
0.30487806,0.05818366,0.11473844,0.003365158,845.17822265625,912552.4975542838,952.91113624013,147772.25872390793,538.1212564711815,129952.02861728537,0.01990685096153846,3.471572018233982e-05,83.35433467741936,-319.48468,2084.2861,179.4,538.0288,36.57882,196.9598,21.346071,167.36665,26.51585,186.48392,17.093851,62.155704,5.966239,23.947687,7.081953,45.058945,0.80294377,42.572304,-0.4409035,39.67274,0.4131646,34.889576,1.1312995,32.967865,-3.4265733,27.758326,-3.672295,34.012085,-0.65759087,25.717201,-2.5979366,17.535158,-4.628538,26.371174,-1.2605265,22.184605,1.9707828,26.988235,-2.8173254,21.69256,blues
0.38302508,0.07997999,0.072730474,0.0024934271,878.9687875600962,100382.90827094454,1112.2952521504694,95506.61782562174,570.3165834350705,19964.177900513656,0.02093224158653846,6.123465193799261e-05,61.5234375,-356.70776,1766.578,172.09027,513.2785,35.60465,69.89155,29.640783,120.74937,25.139297,87.12775,18.387035,42.15971,10.94378,35.13988,10.735785,47.834442,5.122604,25.709951,6.4381137,29.655079,-2.0133948,52.957535,2.0102332,26.032722,-2.7020519,23.779932,-4.8371196,16.653906,1.9959055,23.193909,0.35156322,30.317041,-0.7721311,12.350402,-1.3265635,24.123518,0.7769578,47.449856,-7.922735,101.611336,blues
0.342674,0.06760191,0.084125765,0.002809559,1092.7272385817307,966344.5859069657,1102.9486881970038,94320.81493730252,671.4686894765933,243223.13328392853,0.023204627403846153,0.00015953583124826644,78.30255681818181,-301.34106,3153.1624,177.60898,492.3714,24.09091,148.97438,14.672903,90.06019,16.10571,128.18117,12.295125,68.58921,5.2829833,38.8244,10.244664,43.42336,1.4560043,52.922234,6.593418,16.381147,0.27230972,31.677809,1.8425118,60.663002,-2.541397,18.909582,-7.7980733,17.909756,-5.956326,24.383566,-1.8181279,35.688225,-0.97252315,11.425647,-4.350274,16.708218,-1.8674506,16.745207,-3.9134247,17.897251,blues
0.31708634,0.08603227,0.15777925,0.0029077625,2248.8946063701924,1357212.9501380865,1669.2261011466674,101181.48824379129,1087.9117331300888,163761.98376207706,0.03360877403846154,0.000381433554654996,172.265625,-187.86087,2255.9285,139.7425,550.43726,12.989406,293.91608,42.619946,218.67935,-1.4474539,231.48192,26.319975,139.25497,-0.97207266,199.78606,17.65428,59.34969,-7.7283196,158.46259,-4.873337,97.64402,-8.404065,56.38477,-6.5313506,119.47025,-4.3828745,62.30096,5.721064,116.32125,-9.839121,48.10398,4.1479278,63.642975,-3.0789843,21.358232,-3.2112217,37.455727,3.4741485,43.756752,-6.682211,57.37571,blues
0.30270067,0.0818559,0.1500586,0.0025084408,2490.397761418269,2150668.79080668,1703.73122831011,159584.66430196297,1204.93242235047,279409.1710451128,0.042003455528846156,0.0005679477742437781,172.265625,-185.266,2520.7273,138.41728,645.13043,6.064331,276.46582,47.452236,169.8434,-3.2384884,170.93282,26.858635,149.09578,-9.457808,124.37526,11.920615,106.726234,-12.403933,202.65419,0.6807601,87.530014,-9.424461,105.56163,-0.7716217,109.986755,-4.33971,31.500414,-3.9162457,73.65368,-8.921488,77.508255,3.038043,55.62375,-4.967595,27.710724,-0.4518536,55.964993,2.8157177,29.214869,-7.849254,89.13295,blues
0.34207988,0.09523245,0.15429445,0.0027283097,3498.482947716346,2526778.1479152706,1998.460235165067,149293.69724814748,1640.628400213823,696796.4459945587,0.05744441105769231,0.0030795092272335256,172.265625,-150.9599,1904.5453,115.43447,1448.651,-1.6373838,325.02258,51.182228,525.4008,8.157996,194.56398,26.092262,145.97638,-14.119922,187.25574,18.493156,119.83949,-13.538065,82.662766,4.73688,84.70174,-9.45658,117.39112,4.728561,54.434322,-11.550356,76.17637,1.5036356,49.591084,-8.437132,62.72494,5.8841367,61.40672,-8.891497,33.428875,1.436311,65.23539,2.412368,58.384644,-4.1787376,97.71369,blues
0.3032734,0.09008115,0.17232405,0.0022038647,3505.1085486778848,2319986.8523254897,2012.8912846983856,127324.95063042414,1643.9851423510238,530856.8803995512,0.06162860576923077,0.0018001262393928844,112.34714673913044,-140.53873,1972.2872,121.54265,866.1384,-0.33326405,314.03143,51.369335,549.2212,-6.4612885,486.09488,32.339355,297.86737,-13.207766,191.24095,24.3072,134.31186,-17.51705,159.77419,8.381072,146.39723,-9.650317,85.38577,0.7077386,110.58358,-10.667112,75.555084,0.35430825,62.292633,-10.313095,64.51983,6.319331,45.446148,-5.1918907,81.23377,2.4973974,80.251175,2.2470868,73.03855,-3.7021928,70.71722,blues
